status,line,reason,raw_row
adjusted,15,"Invalid date -> today used","20/Jan/26 | Done | 03/Jan/26 | LRC-4976 | 14ft | 257711 | 1957400 | Reliable Distribution | Multan |  |  | - | 26,000 |  |  |  |  |  |  |  |  |  | "
adjusted,15,"Invalid tender -> 0 used","20/Jan/26 | Done | 03/Jan/26 | LRC-4976 | 14ft | 257711 | 1957400 | Reliable Distribution | Multan |  |  | - | 26,000 |  |  |  |  |  |  |  |  |  | "
adjusted,16,"Invalid date -> today used","20/Jan/26 | Done | 03/Jan/26 | LES-3984 | 14ft | 257713 | 1957399 | Zaman Traders | Lahore |  |  | - | 17,500 |  |  |  |  |  |  |  |  |  | "
adjusted,16,"Invalid tender -> 0 used","20/Jan/26 | Done | 03/Jan/26 | LES-3984 | 14ft | 257713 | 1957399 | Zaman Traders | Lahore |  |  | - | 17,500 |  |  |  |  |  |  |  |  |  | "
adjusted,17,"Invalid date -> today used","20/Jan/26 | Done | 03/Jan/26 | LES-3984 | 14ft | 257714 | 1957399 | Zaman Traders | Lahore |  |  | 3,000 |  |  |  |  |  |  |  |  |  |  | "
adjusted,17,"Invalid freight -> 0 used","20/Jan/26 | Done | 03/Jan/26 | LES-3984 | 14ft | 257714 | 1957399 | Zaman Traders | Lahore |  |  | 3,000 |  |  |  |  |  |  |  |  |  |  | "
adjusted,18,"Invalid date -> today used","20/Jan/26 | Done | 03/Jan/26 | LES-8900 | 14ft | 257718 | 1957389 | SR Traders | Lahore |  |  | - | 17,500 |  |  |  |  |  |  |  |  |  | "
adjusted,18,"Invalid tender -> 0 used","20/Jan/26 | Done | 03/Jan/26 | LES-8900 | 14ft | 257718 | 1957389 | SR Traders | Lahore |  |  | - | 17,500 |  |  |  |  |  |  |  |  |  | "
adjusted,19,"Invalid date -> today used","20/Jan/26 | Done | 03/Jan/26 | LES-8900 | 14ft | 257717 | 1957389 | Metro Thokar | Lahore |  |  | 3,000 |  |  |  |  |  |  |  |  |  |  | "
adjusted,19,"Invalid freight -> 0 used","20/Jan/26 | Done | 03/Jan/26 | LES-8900 | 14ft | 257717 | 1957389 | Metro Thokar | Lahore |  |  | 3,000 |  |  |  |  |  |  |  |  |  |  | "
adjusted,20,"Invalid date -> today used","20/Jan/26 | Done | 05/Jan/26 | NAB-246 | 20ft | 257768 | 1957408 | Khan Traders | Rawalpindi |  |  | - | 76,000 |  |  |  |  |  |  |  |  |  | "
adjusted,20,"Invalid tender -> 0 used","20/Jan/26 | Done | 05/Jan/26 | NAB-246 | 20ft | 257768 | 1957408 | Khan Traders | Rawalpindi |  |  | - | 76,000 |  |  |  |  |  |  |  |  |  | "
adjusted,21,"Invalid date -> today used","20/Jan/26 | Done | 05/Jan/26 | LES-3984 | 14ft | 257716 | 1957420 | Prime Marketing | Lahore |  |  | - | 16,500 |  |  |  |  |  |  |  |  |  | "
adjusted,21,"Invalid tender -> 0 used","20/Jan/26 | Done | 05/Jan/26 | LES-3984 | 14ft | 257716 | 1957420 | Prime Marketing | Lahore |  |  | - | 16,500 |  |  |  |  |  |  |  |  |  | "
adjusted,22,"Invalid date -> today used","20/Jan/26 | Done | 05/Jan/26 | LES-3984 | 14ft | 257715 | 1957420 | Metro DHA | Lahore |  |  | 3,000 |  |  |  |  |  |  |  |  |  |  | "
adjusted,22,"Invalid freight -> 0 used","20/Jan/26 | Done | 05/Jan/26 | LES-3984 | 14ft | 257715 | 1957420 | Metro DHA | Lahore |  |  | 3,000 |  |  |  |  |  |  |  |  |  |  | "
adjusted,23,"Invalid date -> today used","29/Jan/26 | Done | 05/Jan/26 | NAD-831 | 14ft | 257769 | 1957410 | Ayyan Traders | Muzaffargarh |  |  | - | 29,000 |  |  |  |  |  |  |  |  |  | "
adjusted,23,"Invalid tender -> 0 used","29/Jan/26 | Done | 05/Jan/26 | NAD-831 | 14ft | 257769 | 1957410 | Ayyan Traders | Muzaffargarh |  |  | - | 29,000 |  |  |  |  |  |  |  |  |  | "
adjusted,24,"Invalid date -> today used","20/Jan/26 | Done | 05/Jan/26 | EA-4400 | 40ft@32T | 257772 | 1957411 | SA Traders | Peshawar |  |  | - | 145,000 |  |  |  |  |  |  |  |  |  | "
adjusted,24,"Invalid tender -> 0 used","20/Jan/26 | Done | 05/Jan/26 | EA-4400 | 40ft@32T | 257772 | 1957411 | SA Traders | Peshawar |  |  | - | 145,000 |  |  |  |  |  |  |  |  |  | "
adjusted,25,"Invalid date -> today used","29/Jan/26 | Done | 05/Jan/26 | SGI-168 | 20ft | 257781 | 1957419 | Abbasi Traders | Islamabad |  |  | - | 79,000 |  |  |  |  |  |  |  |  |  | "
adjusted,25,"Invalid tender -> 0 used","29/Jan/26 | Done | 05/Jan/26 | SGI-168 | 20ft | 257781 | 1957419 | Abbasi Traders | Islamabad |  |  | - | 79,000 |  |  |  |  |  |  |  |  |  | "
adjusted,26,"Invalid date -> today used","29/Jan/26 | Done | 05/Jan/26 | SGI-168 | 20ft | 257782 | 1957419 | MAH Marketing | Rawalpindi |  |  | 6,000 |  |  |  |  |  |  |  |  |  |  | "
adjusted,26,"Invalid freight -> 0 used","29/Jan/26 | Done | 05/Jan/26 | SGI-168 | 20ft | 257782 | 1957419 | MAH Marketing | Rawalpindi |  |  | 6,000 |  |  |  |  |  |  |  |  |  |  | "
adjusted,27,"Invalid date -> today used","20/Jan/26 | Done | 05/Jan/26 | LEI-6383 | 14ft | 257796 | 1957422 | Zafar Traders | Faisalabad |  |  | - | 19,000 |  |  |  |  |  |  |  |  |  | "
adjusted,27,"Invalid tender -> 0 used","20/Jan/26 | Done | 05/Jan/26 | LEI-6383 | 14ft | 257796 | 1957422 | Zafar Traders | Faisalabad |  |  | - | 19,000 |  |  |  |  |  |  |  |  |  | "
adjusted,28,"Invalid date -> today used","20/Jan/26 | Done | 05/Jan/26 | LEI-6383 | 14ft | 257797 | 1957422 | Handler Zafar Traders | Faisalabad |  |  | - |  |  |  |  |  |  |  |  |  |  | "
adjusted,28,"Invalid freight -> 0 used","20/Jan/26 | Done | 05/Jan/26 | LEI-6383 | 14ft | 257797 | 1957422 | Handler Zafar Traders | Faisalabad |  |  | - |  |  |  |  |  |  |  |  |  |  | "
adjusted,28,"Invalid tender -> 0 used","20/Jan/26 | Done | 05/Jan/26 | LEI-6383 | 14ft | 257797 | 1957422 | Handler Zafar Traders | Faisalabad |  |  | - |  |  |  |  |  |  |  |  |  |  | "
adjusted,29,"Invalid date -> today used","20/Jan/26 | Done | 05/Jan/26 | LES-8900 | 14ft | 257778 | 1957421 | Punjab Traders | Lahore |  |  | - | 18,500 |  |  |  |  |  |  |  |  |  | "
adjusted,29,"Invalid tender -> 0 used","20/Jan/26 | Done | 05/Jan/26 | LES-8900 | 14ft | 257778 | 1957421 | Punjab Traders | Lahore |  |  | - | 18,500 |  |  |  |  |  |  |  |  |  | "
adjusted,30,"Invalid date -> today used","20/Jan/26 | Done | 05/Jan/26 | LES-8900 | 14ft | 257779 | 1957421 | Punjab Traders | Lahore |  |  | 3,000 |  |  |  |  |  |  |  |  |  |  | "
adjusted,30,"Invalid freight -> 0 used","20/Jan/26 | Done | 05/Jan/26 | LES-8900 | 14ft | 257779 | 1957421 | Punjab Traders | Lahore |  |  | 3,000 |  |  |  |  |  |  |  |  |  |  | "
adjusted,31,"Invalid date -> today used","20/Jan/26 | Done | 05/Jan/26 | LES-8900 | 14ft | 257780 | 1957421 | Ithad Enterprises | Lahore |  |  | 3,000 |  |  |  |  |  |  |  |  |  |  | "
adjusted,31,"Invalid freight -> 0 used","20/Jan/26 | Done | 05/Jan/26 | LES-8900 | 14ft | 257780 | 1957421 | Ithad Enterprises | Lahore |  |  | 3,000 |  |  |  |  |  |  |  |  |  |  | "
adjusted,32,"Invalid date -> today used","20/Jan/26 | Done | 05/Jan/26 | EA-7481 | 14ft | 257775 | 1957412 | Handler Abubakkar Traders | Sargodha |  |  | - | 28,000 |  |  |  |  |  |  |  |  |  | "
adjusted,32,"Invalid tender -> 0 used","20/Jan/26 | Done | 05/Jan/26 | EA-7481 | 14ft | 257775 | 1957412 | Handler Abubakkar Traders | Sargodha |  |  | - | 28,000 |  |  |  |  |  |  |  |  |  | "
adjusted,33,"Invalid date -> today used","20/Jan/26 | Done | 05/Jan/26 | EA-7481 | 14ft | 257774 | 1957412 | Haris Traders | Sargodha |  |  | 3,000 |  |  |  |  |  |  |  |  |  |  | "
adjusted,33,"Invalid freight -> 0 used","20/Jan/26 | Done | 05/Jan/26 | EA-7481 | 14ft | 257774 | 1957412 | Haris Traders | Sargodha |  |  | 3,000 |  |  |  |  |  |  |  |  |  |  | "
adjusted,34,"Invalid date -> today used","29/Jan/26 | Done | 06/Jan/26 | LEI-7069 | 14ft | 257806 | 1957427 | Handler Abubakkar Traders | Sargodha |  |  | - | 26,000 |  |  |  |  |  |  |  |  |  | "
adjusted,34,"Invalid tender -> 0 used","29/Jan/26 | Done | 06/Jan/26 | LEI-7069 | 14ft | 257806 | 1957427 | Handler Abubakkar Traders | Sargodha |  |  | - | 26,000 |  |  |  |  |  |  |  |  |  | "
adjusted,35,"Invalid date -> today used","29/Jan/26 | Done | 06/Jan/26 | JV-8567 | 14ft | 257770 | 1957428 | AL Madina Traders | Rahim Yar Khan |  |  | - | 95,000 |  |  |  |  |  |  |  |  |  | "
adjusted,35,"Invalid tender -> 0 used","29/Jan/26 | Done | 06/Jan/26 | JV-8567 | 14ft | 257770 | 1957428 | AL Madina Traders | Rahim Yar Khan |  |  | - | 95,000 |  |  |  |  |  |  |  |  |  | "
adjusted,36,"Invalid date -> today used","29/Jan/26 | Done | 06/Jan/26 | JV-8567 | 14ft | 257807 | 1957428 | Jasmin Traders | Hyderabad |  |  | - | - |  |  |  |  |  |  |  |  |  | "
adjusted,36,"Invalid freight -> 0 used","29/Jan/26 | Done | 06/Jan/26 | JV-8567 | 14ft | 257807 | 1957428 | Jasmin Traders | Hyderabad |  |  | - | - |  |  |  |  |  |  |  |  |  | "
adjusted,36,"Invalid tender -> 0 used","29/Jan/26 | Done | 06/Jan/26 | JV-8567 | 14ft | 257807 | 1957428 | Jasmin Traders | Hyderabad |  |  | - | - |  |  |  |  |  |  |  |  |  | "
adjusted,37,"Invalid date -> today used","29/Jan/26 | Done | 06/Jan/26 | JU-8567 | 14ft | 257808 | 1957428 | Handler Jasmine Traders | Hyderabad |  |  | - |  |  |  |  |  |  |  |  |  |  | "
adjusted,37,"Invalid freight -> 0 used","29/Jan/26 | Done | 06/Jan/26 | JU-8567 | 14ft | 257808 | 1957428 | Handler Jasmine Traders | Hyderabad |  |  | - |  |  |  |  |  |  |  |  |  |  | "
adjusted,37,"Invalid tender -> 0 used","29/Jan/26 | Done | 06/Jan/26 | JU-8567 | 14ft | 257808 | 1957428 | Handler Jasmine Traders | Hyderabad |  |  | - |  |  |  |  |  |  |  |  |  |  | "
adjusted,38,"Invalid date -> today used","20/Jan/26 | Done | 06/Jan/26 | LRJ-3295 | 14ft | 257831 | 1957436 | Handler Abubakkar Traders | Sargodha |  |  | - | 28,000 |  |  |  |  |  |  |  |  |  | "
adjusted,38,"Invalid tender -> 0 used","20/Jan/26 | Done | 06/Jan/26 | LRJ-3295 | 14ft | 257831 | 1957436 | Handler Abubakkar Traders | Sargodha |  |  | - | 28,000 |  |  |  |  |  |  |  |  |  | "
adjusted,39,"Invalid date -> today used","20/Jan/26 | Done | 06/Jan/26 | LRJ-3295 | 14ft | 257830 | 1957436 | Waqas Traders | Sargodha |  |  | 3,000 |  |  |  |  |  |  |  |  |  |  | "
