status,line,reason,raw_row
adjusted,4165,"Invalid tender -> 0 used"," |  | 11/8/2025 | TKS-462 | 987 | SP Ittefaq P.F | Amman F Chak 36 Gojra | 200 | - | 19,561"
adjusted,4170,"Invalid tender -> 0 used"," |  | 11/8/2025 | LEI-7408 | 992 | SP Tarar Phalia | Alharam F Phalia 5km | 200 | - | 28,650"
adjusted,4181,"Invalid tender -> 0 used"," |  | 11/10/2025 | Z-6156 | 1053 | Jasik P.F | Cahk 94 85 Jhal | 200 | - | 17,783"
adjusted,4208,"Invalid tender -> 0 used"," |  | 11/11/2025 | FDD-6606 | 1080 | Sohail Alpaa | AL Reham F Chak 9 Bhalwal | 200 | - | 21,240"
adjusted,4227,"Invalid tender -> 0 used"," |  | 11/13/2025 | RIS-286 | 1100 | Alpa Eggs | Dhoori | 400 | - | 42,322"
adjusted,4229,"Invalid tender -> 0 used"," |  | 11/13/2025 | E-2522 | 1102 | Afaq P.F | Chaudary F Rakhan Wala | 200 | - | 20,746"
adjusted,4238,"Invalid tender -> 0 used"," |  | 11/13/2025 | SGH-7691 | 1116 | Nasiyal P.F Noshehra | Khewara | 200 | - | 39,731"
adjusted,4253,"Invalid tender -> 0 used"," |  | 11/14/2025 | K-9741 | 1132 | Jameel & Sons | Chak 92 LHR Rd | 200 | - | 19,758"
adjusted,4257,"Invalid tender -> 0 used"," |  | 11/14/2025 | TAB-126 | 1136 | H & H | Kot Musa to Adda Chohal Pull | 200 | - | 20,746"
adjusted,4290,"Invalid tender -> 0 used"," |  | 11/17/2025 | Z-6156 | 1021 | Talha P.F | ittefaq F Chak 34 Bhatta SGD | 200 | - | 18,070"
adjusted,4297,"Invalid tender -> 0 used"," |  | 11/17/2025 | E-9358 | 1028 | H & H | Chak 47 46 Ada | 200 | - | 16,062"
adjusted,4305,"Invalid tender -> 0 used"," |  | 11/18/2025 | LES-7550 | 1036 | Chaudary Imran | Chak 57 Jhal Chakiyan | 200 | - | 18,070"
adjusted,4308,"Invalid tender -> 0 used"," |  | 11/18/2025 | TUB-197 | 1039 | SP Babar Mandi | 3 Star Shah Taj Sugar Mills | 200 | - | 19,870"
adjusted,4320,"Invalid tender -> 0 used"," |  | 11/19/2025 | TKJ-679 | 802 | SP Ittefaq P.F | Jalalika Rukkan Gojra | 200 | - | 29,113"
adjusted,4322,"Invalid tender -> 0 used"," |  | 11/19/2025 | RIR-6230 | 804 | Ahmad Khan P.F | Chak 123 Silanwali | 200 | - | 18,070"
adjusted,4324,"Invalid tender -> 0 used"," |  | 11/19/2025 | LEI-5149 | 806 | Saqib Khan P.F | Chak 73 LHR Rd | 200 | - | 20,078"
adjusted,4336,"Invalid tender -> 0 used"," |  | 11/20/2025 | LES-2233 | 818 | Ali Network P.F | AL Abbas F Chohal Pull | 200 | - | 21,082"
adjusted,4341,"Invalid tender -> 0 used"," |  | 11/20/2025 | SGH-7691 | 823 | Aalam P.F | Aalam F Sakesar Rd 6km Quaidabad | 200 | - | 25,097"
adjusted,4348,"Invalid tender -> 0 used"," |  | 11/21/2025 | KBI-166 | 830 | H & H | Chak 47 46 Ada | 200 | - | 16,062"
adjusted,4350,"Invalid tender -> 0 used"," |  | 11/21/2025 | RIR-6230 | 833 | Jasik P.F | Chak 94 nr 85 Jhal | 200 | - | 16,062"
adjusted,4357,"Invalid tender -> 0 used"," |  | 11/21/2025 | TKJ-679 | 841 | Amanullah P.F | Arif F Farooqa | 200 | - | 21,082"
adjusted,4359,"Invalid tender -> 0 used"," |  | 11/21/2025 | LXK-8121 | 843 | SP Ehsanullah | Chak 109 Silanwali | 200 | - | 18,070"
adjusted,4368,"Invalid tender -> 0 used"," |  | 11/22/2025 | LEI-8085 | 1152 | H & H | Chak 47 46 Ada | 200 | - | 16,062"
adjusted,4374,"Invalid tender -> 0 used"," |  | 11/22/2025 | FDE-2328 | 1158 | Ehsanullah | Chak 54 Kandiwal rd | 200 | - | 14,055"
adjusted,4380,"Invalid tender -> 0 used"," |  | 11/24/2025 | NAG-158 | 1164 | SP Babar Mandi | SP Tarar F Phalia | 200 | - | 19,877"
adjusted,4385,"Invalid tender -> 0 used"," |  | 11/24/2025 | TAB-126 | 1169 | Ehsanullah | Jasik F Farooqa | 200 | - | 21,082"
adjusted,4387,"Invalid tender -> 0 used"," |  | 11/24/2025 | TAH-516 | 1171 | Marhaba F | Chak 31 LHR rd | 200 | - | 20,078"
adjusted,4392,"Invalid tender -> 0 used"," |  | 11/24/2025 | LES-6030 | 1176 | SP Ehsanullah | Chak 67 Begowal | 200 | - | 20,078"
adjusted,4402,"Invalid tender -> 0 used"," |  | 11/25/2025 | C-8257 | 1186 | Nasiyal P.F Noshehra | Wadi.e.soon 4 Stop | 200 |  | 41,056"
adjusted,4403,"Invalid tender -> 0 used"," |  | 11/25/2025 | C-8257 | 1187 | Awan F | Jallay wali Wadi.e.soon | 200 |  | 41,056"
adjusted,4407,"Invalid tender -> 0 used"," |  | 11/25/2025 | RIR-6230 | 1191 | Jasik P.F | Wali F 95 Chak 85 Jhal | 200 | - | 18,070"
